TIME,PREC,PREC2
1,	 9.77547, 1.56118   
2,	 7.60797, 2.45797
3,	 11.7743, 1.99578
4,	 7.05568, 0.32916
5,	 6.41153, 0.73908
6,	 5.50414, 7.39887
7,	 5.83527, 5.06629
8,	 3.99877, 0.30559
9,	 5.71704, 0.64970
10,	 3.89840, 1.56255
11,	 4.87755, 2.12918
12,	 4.32702, 3.22956
13,	 4.41991, 1.23475
14,	 6.01727, 2.51748
15,	 4.56526, 1.88636
16,	 5.92868, 0.48091
17,	 3.60027, 0.58171
18,	 4.51939, 2.09708
19,	 4.56593, 0.91639
20,	 5.56762, 1.66707
21,	 4.71474, 2.27285
22,	 6.30409, 1.84434
23,	 2.50460, 4.69182
24,	 4.91830, 2.71359
25,	 5.79435, 0.13228
